!    SILAM Source Locations
!!   Nuclear Sources List
!!   Nuclear Power Plants (NPP)
!!   Coordinates in decimals, with N/E = positive, S/W= negative
!!   Data updated 2018-10-05 by STUK
!!   Data source: IAEA PRIS database
!! 
! latitude    longitude        country   NPP-type    Additional Information (plant name, net capacity, age)
!--------------------------------------------------------------------------------------------------------------------
!
-33.9669   S   -59.2086   W   Argentina   PL_PHWR   Atucha 1, 362 MWe, Oper. since 1974
-33.9673   S   -59.2033   W   Argentina   PL_PHWR   Atucha 2, 745 MWe, Oper. since 2016
-32.2315   S   -64.4423   W   Argentina   PL_PHWR   Embalse, 648 MWe, Oper. since 1984
40.1813   N   44.1472   E   Armenia   PL_PWR   Armenian 2, 408 MWe, Oper. since 1980
51.3227   N   4.25868   E   Belgium   PL_PWR   Doel 1, 454 MWe, Oper. since 1975
51.3227   N   4.25919   E   Belgium   PL_PWR   Doel 2, 454 MWe, Oper. since 1975
51.3249   N   4.25658   E   Belgium   PL_PWR   Doel 3, 1056 MWe, Oper. since 1982
51.3249   N   4.25708   E   Belgium   PL_PWR   Doel 4, 1090 MWe, Oper. since 1985
50.5333   N   5.271   E   Belgium   PL_PWR   Tihange 1, 1009 MWe, Oper. since 1975
50.5328   N   5.271   E   Belgium   PL_PWR   Tihange 2, 1055 MWe, Oper. since 1983
50.5323   N   5.271   E   Belgium   PL_PWR   Tihange 3, 1089 MWe, Oper. since 1985
-23.008   S   -44.4567   W   Brazil   PL_PWR   Angra 1, 640 MWe, Oper. since 1985
-23.0065   S   -44.4578   W   Brazil   PL_PWR   Angra 2, 1350 MWe, Oper. since 2001
43.7466   N   23.7696   E   Bulgaria   PL_PWR   Kozloduy 5, 1000 MWe, Oper. since 1988
43.7463   N   23.7709   E   Bulgaria   PL_PWR   Kozloduy 6, 1000 MWe, Oper. since 1993
44.3401   N   -81.5716   W   Canada   PL_PHWR   Bruce 1, 830 MWe, Oper. since 1977
44.3406   N   -81.5716   W   Canada   PL_PHWR   Bruce 2, 830 MWe, Oper. since 1977
